2026-03-11 01:43:56.176 | ERROR    | src.intelligence.planner.evaluator:log_action_result:35 - [Evaluator] Action Failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-2.0-flash-exp is not found for API version v1alpha, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}} (Failure 1/3)
2026-03-11 01:43:56.179 | INFO     | src.kernel.introspection:plan_checks:169 - [IntrospectionEngine] Planned 3/8 checks: ['R1_NO_REFUSAL', 'R2_PREMATURE_STOP', 'R6_OBJECTIVE_ALIGNMENT']
2026-03-11 01:43:56.690 | ERROR    | src.kernel.introspection:evaluate_adaptive:400 - [IntrospectionEngine] Adaptive eval failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-2.0-flash-exp is not found for API version v1alpha, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-03-11 01:43:58.457 | INFO     | src.intelligence.perception.screen:capture:143 - [ScreenObserver] Captured screenshot to c:\Users\HP\Downloads\micro gravity - Copy\demo_workspace\storage\screenshots\current\loop_2.png
2026-03-11 01:43:58.465 | INFO     | src.intelligence.perception.engine:get_ui_state:62 - [VisionEngine] Extracting state from c:\Users\HP\Downloads\micro gravity - Copy\demo_workspace\storage\screenshots\current\loop_2.png
2026-03-11 01:44:00.349 | ERROR    | src.intelligence.perception.engine:get_ui_state:72 - [VisionEngine] Error: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-2.0-flash-exp is not found for API version v1alpha, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-03-11 01:44:00.357 | INFO     | src.kernel.loop:run_task:165 - [KernelLoop] Iteration 2 State: Error extracting UI state....
2026-03-11 01:44:00.358 | DEBUG    | src.kernel.loop:run_task:212 - [KernelLoop] Proceeding with ACT: {'action': 'explore', 'target': 'next_element'}
2026-03-11 01:44:01.335 | INFO     | src.intelligence.perception.screen:capture:143 - [ScreenObserver] Captured screenshot to c:\Users\HP\Downloads\micro gravity - Copy\demo_workspace\storage\screenshots\current\loop_2_after.png
2026-03-11 01:44:01.338 | INFO     | src.intelligence.perception.engine:verify_change:77 - [VisionEngine] Verifying intent: next_element
2026-03-11 01:44:03.524 | ERROR    | src.intelligence.perception.engine:verify_change:89 - [VisionEngine] Error: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-2.0-flash-exp is not found for API version v1alpha, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-03-11 01:44:03.525 | INFO     | src.kernel.loop:run_task:226 - [KernelLoop] Action Verification: False
2026-03-11 01:44:03.528 | ERROR    | src.intelligence.planner.evaluator:log_action_result:35 - [Evaluator] Action Failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-2.0-flash-exp is not found for API version v1alpha, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}} (Failure 2/3)
2026-03-11 01:44:03.529 | INFO     | src.kernel.introspection:plan_checks:169 - [IntrospectionEngine] Planned 3/8 checks: ['R1_NO_REFUSAL', 'R2_PREMATURE_STOP', 'R6_OBJECTIVE_ALIGNMENT']
2026-03-11 01:44:04.197 | ERROR    | src.kernel.introspection:evaluate_adaptive:400 - [IntrospectionEngine] Adaptive eval failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-2.0-flash-exp is not found for API version v1alpha, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-03-11 01:44:05.896 | INFO     | src.intelligence.perception.screen:capture:143 - [ScreenObserver] Captured screenshot to c:\Users\HP\Downloads\micro gravity - Copy\demo_workspace\storage\screenshots\current\loop_3.png
2026-03-11 01:44:05.959 | INFO     | src.intelligence.perception.engine:get_ui_state:62 - [VisionEngine] Extracting state from c:\Users\HP\Downloads\micro gravity - Copy\demo_workspace\storage\screenshots\current\loop_3.png
2026-03-11 01:44:07.542 | ERROR    | src.intelligence.perception.engine:get_ui_state:72 - [VisionEngine] Error: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-2.0-flash-exp is not found for API version v1alpha, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-03-11 01:44:07.549 | INFO     | src.kernel.loop:run_task:165 - [KernelLoop] Iteration 3 State: Error extracting UI state....
2026-03-11 01:44:07.659 | DEBUG    | src.kernel.loop:run_task:212 - [KernelLoop] Proceeding with ACT: {'action': 'explore', 'target': 'next_element'}
2026-03-11 01:44:08.640 | INFO     | src.intelligence.perception.screen:capture:143 - [ScreenObserver] Captured screenshot to c:\Users\HP\Downloads\micro gravity - Copy\demo_workspace\storage\screenshots\current\loop_3_after.png
2026-03-11 01:44:08.645 | INFO     | src.intelligence.perception.engine:verify_change:77 - [VisionEngine] Verifying intent: next_element
2026-03-11 01:44:11.136 | ERROR    | src.intelligence.perception.engine:verify_change:89 - [VisionEngine] Error: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-2.0-flash-exp is not found for API version v1alpha, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-03-11 01:44:11.138 | INFO     | src.kernel.loop:run_task:226 - [KernelLoop] Action Verification: False
2026-03-11 01:44:11.139 | ERROR    | src.intelligence.planner.evaluator:log_action_result:35 - [Evaluator] Action Failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-2.0-flash-exp is not found for API version v1alpha, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}} (Failure 3/3)
2026-03-11 01:44:11.142 | CRITICAL | src.intelligence.planner.evaluator:_evaluate_session_health:45 - [Evaluator] THRESHOLD REACHED: 3 consecutive failures. Initiating Diagnostic Auto-Tune...
2026-03-11 01:44:11.274 | INFO     | src.intelligence.planner.evaluator:_evaluate_session_health:51 - [Evaluator] Diagnosis: Element too small or obscured. Mutating zoom_level.
2026-03-11 01:44:11.275 | WARNING  | src.kernel.config_manager:increase_vision_zoom:25 - [ConfigManager] Auto-tuning triggered: Zoom increased from 1.0x to 1.5x
2026-03-11 01:44:11.275 | WARNING  | src.kernel.loop:run_task:238 - [KernelLoop] SYSTEM RESTART FLAG CAUGHT. Re-booting loop with new constraints...
2026-03-11 01:44:11.276 | INFO     | src.kernel.loop:stop:274 - [KernelLoop] Shutdown complete.
2026-03-11 01:44:11.277 | INFO     | src.kernel.loop:stop:274 - [KernelLoop] Shutdown complete.
2026-03-11 01:44:11.278 | INFO     | src.intelligence.perception.live_streamer:disconnect:109 - [LiveStreamer] Disconnect requested.
